"from","to","Year","trade_type","value"
"United States","Mauritania",2020,"Export",127974.11
"United States","Montserrat",2020,"Export",11599
"United States","Mauritius",2020,"Export",49612.97
"United States","Malawi",2020,"Export",13214.75
"United States","Malaysia",2020,"Export",12498459.27
"United States","North America",2020,"Export",255486700.83
"United States","Namibia",2020,"Export",60146.06
"United States","New Caledonia",2020,"Export",61053.38
"United States","Niger",2020,"Export",143872.2
"United States","Norfolk Island",2020,"Export",11706.53
"United States","Nigeria",2020,"Export",2788420.06
"United States","Nicaragua",2020,"Export",1429602.2
"United States","Niue",2020,"Export",173.71
"United States","Netherlands",2020,"Export",45508366.38
"United States","Norway",2020,"Export",2785142.23
"United States","Nepal",2020,"Export",93570.02
"United States","Nauru",2020,"Export",607.03
"United States","New Zealand",2020,"Export",3185107.02
"United States","Oman",2020,"Export",1132932.3
"United States","Pakistan",2020,"Export",2926365.25
"United States","Panama",2020,"Export",5766188.86
"United States","Peru",2020,"Export",7685741.23
"United States","Philippines",2020,"Export",7764459.61
"United States","Palau",2020,"Export",21107.17
"United States","Papua New Guinea",2020,"Export",62493.53
"United States","Poland",2020,"Export",4951225.42
"United States","Portugal",2020,"Export",1650337.71
"United States","Paraguay",2020,"Export",1274329.12
"United States","Occ.Pal.Terr",2020,"Export",2304.97
"United States","French Polynesia",2020,"Export",110541.08
"United States","Qatar",2020,"Export",3415513.61
"United States","Romania",2020,"Export",913971.88
"United States","Russian Federation",2020,"Export",4883765.6
"United States","Rwanda",2020,"Export",27402.4
"United States","South Asia",2020,"Export",33310939.51
"United States","Saudi Arabia",2020,"Export",11177094.25
"United States","Senegal",2020,"Export",280137.11
"United States","Serbia, FR(Serbia/Montenegro)",2020,"Export",174999.89
"United States","Singapore",2020,"Export",27050553.87
"United States","Saint Helena",2020,"Export",4856.19
"United States","Solomon Islands",2020,"Export",4667.55
"United States","Sierra Leone",2020,"Export",73828.32
"United States","El Salvador",2020,"Export",2618698.81
"United States","San Marino",2020,"Export",2060.61
"United States","Somalia",2020,"Export",58945.82
"United States","Saint Pierre and Miquelon",2020,"Export",271.95
"United States","South Sudan",2020,"Export",40244
"United States","Sub-Saharan Africa",2020,"Export",13321633.25
"United States","Sao Tome and Principe",2020,"Export",733
"United States","Sudan",2020,"Export",71709.84
"United States","Suriname",2020,"Export",267424.98
"United States","Slovak Republic",2020,"Export",336565.12
"United States","Slovenia",2020,"Export",307881.6
"United States","Sweden",2020,"Export",4688570.4
"United States","Eswatini",2020,"Export",21406.12
"United States","Saint Maarten (Dutch part)",2020,"Export",335607.71
"United States","Seychelles",2020,"Export",17062.46
"United States","Syrian Arab Republic",2020,"Export",2134.12
"United States","Turks and Caicos Isl.",2020,"Export",260063.02
"United States","Chad",2020,"Export",46145.95
"United States","Togo",2020,"Export",319564.05
"United States","Thailand",2020,"Export",11169543.49
"United States","Tajikistan",2020,"Export",7564.52
"United States","Tokelau",2020,"Export",87.42
"United States","Turkmenistan",2020,"Export",32907.93
"United States","East Timor",2020,"Export",9329.93
"United States","Tonga",2020,"Export",14722.08
"United States","Trinidad and Tobago",2020,"Export",2370080.8
"United States","Tunisia",2020,"Export",433877.83
"United States","Turkey",2020,"Export",10007520.76
"United States","Tuvalu",2020,"Export",1682
"United States","Tanzania",2020,"Export",245762.98
"United States","Uganda",2020,"Export",94995.13
"United States","Ukraine",2020,"Export",1840287.62
"United States","Uruguay",2020,"Export",1249984.62
"United States","Uzbekistan",2020,"Export",180939.68
"United States","Holy See",2020,"Export",314.94
"United States","St. Vincent and the Grenadines",2020,"Export",76873.71
"United States","Venezuela",2020,"Export",1131386.99
"United States","British Virgin Islands",2020,"Export",284149.5
"United States","Vietnam",2020,"Export",9989334.12
"United States","Vanuatu",2020,"Export",7014.19
"United States"," World",2020,"Export",1430253623.49
"United States","Wallis and Futura Isl.",2020,"Export",156.17
"United States","Samoa",2020,"Export",26307.39
"United States","Yemen",2020,"Export",331127.67
"United States","South Africa",2020,"Export",4454735.15
"United States","Congo, Dem. Rep.",2020,"Export",152906.39
"United States","Zambia",2020,"Export",71820.75
"United States","Zimbabwe",2020,"Export",46428.94
"Aruba","United States",2020,"Import",34710.31
"Afghanistan","United States",2020,"Import",17329.15
"Angola","United States",2020,"Import",497345.89
"Anguila","United States",2020,"Import",1687.13
"Albania","United States",2020,"Import",48815.31
"Andorra","United States",2020,"Import",5492.13
"United Arab Emirates","United States",2020,"Import",3234654.8
"Argentina","United States",2020,"Import",4378126.24
"Armenia","United States",2020,"Import",70559.97
"Fr. So. Ant. Tr","United States",2020,"Import",74.97
"Antigua and Barbuda","United States",2020,"Import",4480.56
"Australia","United States",2020,"Import",14334509.77
"Austria","United States",2020,"Import",11767580.32
"Azerbaijan","United States",2020,"Import",39297.78
"Burundi","United States",2020,"Import",3994.2
"Belgium","United States",2020,"Import",21365556.89
"Benin","United States",2020,"Import",5824.4
"Burkina Faso","United States",2020,"Import",5213.82
"Bangladesh","United States",2020,"Import",6308243.14
"Bulgaria","United States",2020,"Import",884520.04
"Bahrain","United States",2020,"Import",669901.12
"Bahamas, The","United States",2020,"Import",287396.56
"Bosnia and Herzegovina","United States",2020,"Import",102009.52
"Belarus","United States",2020,"Import",354986.52
"Belize","United States",2020,"Import",53910.75
"Bermuda","United States",2020,"Import",25207.03
"Bolivia","United States",2020,"Import",389076.64
"Brazil","United States",2020,"Import",24421640.76
"Barbados","United States",2020,"Import",49839.17
"Brunei","United States",2020,"Import",90301.86
"Bhutan","United States",2020,"Import",434.91
"Botswana","United States",2020,"Import",178253.14
"Central African Republic","United States",2020,"Import",992.18
