Country Name,Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,GDP per capita (current US$),5592.22011465753,5499.58733105334,5493.05669453687,4177.8895415169,3946.45244712537,4109.69821695727,4142.01855842917,3989.66827645236,3306.85820838104,3765.03462494702
East Asia & Pacific (excluding high income),GDP per capita (current US$),5385.22891874283,5891.96502785416,6301.08681366193,6511.25811795966,6600.76419388331,7159.4513800779,7954.76252492483,8177.83799959088,8270.4551375631,9776.49380942516
Early-demographic dividend,GDP per capita (current US$),3390.88813635468,3389.95390993475,3457.59848946627,3244.23703420959,3303.71057489686,3521.38164524567,3509.75422160638,3538.83341305865,3253.71345552774,3739.95779025925
East Asia & Pacific,GDP per capita (current US$),9450.12517513162,9482.16395349482,9707.50684455441,9599.41408175118,9867.86582427854,10466.4242660902,11324.0048838657,11494.0915299335,11483.599313849,13037.4626411209
Europe & Central Asia (excluding high income),GDP per capita (current US$),10235.1186293454,10778.376057206,9921.60940936095,7485.82692616597,7070.96542522388,7889.01689896702,8008.25710825888,8136.75183449526,7435.16074761498,8708.06363752219
Europe & Central Asia,GDP per capita (current US$),25132.530916951,26147.7010456555,26388.2237901521,22624.9153940933,22455.1473575594,23704.3284006749,25297.6798609025,24914.603370603,23981.0220068683,27114.2759902197
Ecuador,GDP per capita (current US$),5682.04610814497,6056.33121253813,6377.09392877257,6124.49088707134,6060.09296156791,6213.50312736888,6295.93466163992,6222.52465327248,5627.77227986528,5934.87549580808
"Egypt, Arab Rep.",GDP per capita (current US$),3229.6856303038,3262.65758647104,3379.55798627058,3562.93265798423,3519.8732398108,2444.29038718448,2537.12518504712,3019.09228346646,3569.20684121108,3876.35959373349
Euro area,GDP per capita (current US$),37595.8770917292,39120.333344785,39912.4423189022,34388.2837816778,35163.4724281499,37154.4819396225,40059.1824769881,39195.7748274703,38012.6672881035,42307.7290448297
Eritrea,GDP per capita (current US$),,,,,,,,,,
Spain,GDP per capita (current US$),28322.8092495057,29067.809460022,29500.7894328615,25742.3688346767,26523.3482221547,28170.1678643302,30364.5799435622,29554.4905170087,27056.4217512166,30115.7058866792
Estonia,GDP per capita (current US$),17403.2053254767,19056.0019226989,20261.0667303886,17402.0376128079,18295.3429322114,20437.765376736,23063.5638175675,23397.8782560944,23054.3584905978,27280.6584396993
Ethiopia,GDP per capita (current US$),467.07787183328,499.531530164228,566.92640288853,640.541923075422,717.124869806118,768.523015429372,771.524866349431,855.760885186903,936.45075756247,943.965684225205
European Union,GDP per capita (current US$),33158.8921437288,34578.0519280536,35286.1173778772,30485.0288067203,31186.5106151623,33094.4083474507,35753.3668481949,35089.2827874493,34191.8282529314,38234.1345970542
Fragile and conflict affected situations,GDP per capita (current US$),2329.57983711507,2359.48032894864,2428.44361702328,1913.6920361632,1762.81002674869,1825.73833177236,1826.83326554318,1905.70041785845,1743.36711268666,1826.39640076957
Finland,GDP per capita (current US$),47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49988.9108461845,48628.641762105,49160.8371522596,53982.6142735261
Fiji,GDP per capita (current US$),4591.57701506207,4840.72726987242,5605.60914844185,5390.71420703085,5651.27272132772,6101.02388950081,6317.41372301725,6175.8906526556,5102.84392924983,5085.97164195861
France,GDP per capita (current US$),40872.3624615688,42605.0443782179,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41592.795896432,40578.6442850534,39037.1226309074,43518.5385130851
Faroe Islands,GDP per capita (current US$),50464.6586679884,55892.2870235945,60484.3407300749,53310.2620055228,58224.8055136926,61455.0526069484,65572.6075305846,67153.6819379166,66320.6791976778,
"Micronesia, Fed. Sts.",GDP per capita (current US$),3131.38671463839,2994.79239440343,2971.51260191356,2906.61701228808,3014.70035839042,3289.64211697365,3568.291015625,3624.24909158279,3542.96978797168,3476.6508946194
Gabon,GDP per capita (current US$),9813.50574650818,9683.58161951252,9663.42411002585,7384.70070393071,6984.41971208387,7230.43491161979,7959.00726736376,7766.99655422948,6881.71422533521,8016.99049546905
United Kingdom,GDP per capita (current US$),42686.8000524926,43713.8141242308,47787.2412984884,45404.5677734722,41499.5557033073,40857.7555829627,43646.9519711493,43070.4983595888,41098.0786527828,47334.3553149875
Georgia,GDP per capita (current US$),4421.81824228013,4623.74572473419,4739.18833846421,4014.18594419329,4062.16988757379,4357.00093554628,4722.0424231414,4696.15058555612,4255.74299321254,5042.38552777387
Ghana,GDP per capita (current US$),1587.56093185809,2361.09032388366,2012.26424719728,1774.07477092508,1971.95693464599,2074.29073272269,2260.86056729337,2246.62557816432,2254.15388897604,2445.29074932761
Gibraltar,GDP per capita (current US$),,,,,,,,,,
Guinea,GDP per capita (current US$),717.050535937992,769.003166697833,787.238564407157,769.255475432822,732.291511901662,855.575270552124,955.111281136711,1052.58809075877,1078.95000622281,1174.35297194486
"Gambia, The",GDP per capita (current US$),742.777628631243,700.516042152833,607.429904651813,660.723571244322,690.780493152792,679.75507172296,732.720727318856,772.505588308894,757.413111611389,835.594421389388
Guinea-Bissau,GDP per capita (current US$),616.37566403413,634.662039138969,623.313091387687,603.399381547733,661.457838679603,738.549944890782,802.767385116156,749.453747028806,727.520171719562,812.962373003605
Equatorial Guinea,GDP per capita (current US$),21711.1532298542,20390.7382585315,19394.0818360782,11283.3980158847,9250.31672846641,9667.8569615799,10005.6160423267,8380.74112238766,7198.33588370688,8462.28632962077
Greece,GDP per capita (current US$),21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19133.7577636254,17647.2326882744,20276.5446744075
Grenada,GDP per capita (current US$),7444.08907474276,7789.63235505594,8370.04047206067,9096.53865246322,9628.2591689029,10152.8328118872,10466.8822111958,10834.495680302,9273.19929177393,9928.62173326713
Greenland,GDP per capita (current US$),45936.7659516989,47535.5899453685,50484.9275739023,44536.4013080999,48181.874188064,50766.5994182748,54545.2999786248,53256.2440862119,54570.3750190141,
Guatemala,GDP per capita (current US$),3355.03691881272,3522.77370621475,3779.64233613025,3994.63691288475,4173.30166619474,4454.04814983548,4478.42464550944,4638.63494319511,4603.33964340645,5025.57557261451
Guam,GDP per capita (current US$),32908.3067691731,33656.4535735436,34843.2055749129,35829.2503598989,36214.0069224538,36601.9198811792,36556.6749110213,38040.5869870588,34624.3401290414,
Guyana,GDP per capita (current US$),5378.81087848265,5489.14072551384,5407.14736611728,5576.82585151355,5811.39792362577,6124.95366998759,6145.81927664377,6609.51127954588,6955.93921717789,9374.80456982258
High income,GDP per capita (current US$),41524.8892400313,41805.7511152502,42455.8235365012,39847.261775534,40475.1774636493,42118.2044042732,44571.4335819118,44774.7750215677,43282.4234611717,47886.7845890595
"Hong Kong SAR, China",GDP per capita (current US$),36730.8767001128,38403.7777145477,40315.2855640552,42431.8882817277,43733.9163612828,46160.429791493,48537.5668888343,48356.0635043614,46100.975872923,49660.6342382386
Honduras,GDP per capita (current US$),2144.34236301027,2102.59244935157,2206.05439745471,2302.20441093316,2342.58490388004,2453.72711527978,2510.32294304191,2574.35675105143,2405.73284775141,2831.03302075308
Heavily indebted poor countries (HIPC),GDP per capita (current US$),916.195272299863,991.374996400154,1024.1892218116,965.769550101732,987.109310279769,1065.40860994757,987.173904512955,994.898280933316,975.474261768968,1057.91924158093
Croatia,GDP per capita (current US$),13401.6566203283,13837.7316376587,13762.3728630599,11933.3773788281,12527.7398569824,13629.289592247,15227.5600968096,15311.766903695,14132.4865609499,17398.7659768108
Haiti,GDP per capita (current US$),1337.33594561281,1432.83761766692,1435.13647023104,1386.85419078846,1290.38050812318,1369.06373395137,1479.3458268885,1312.77063606676,1272.36799204205,1814.67404841047
Hungary,GDP per capita (current US$),12989.1802815896,13719.9505393621,14298.833667395,12720.7120220668,13107.3779137744,14623.6966492311,16427.3727611478,16735.6597794761,16075.9732662505,18772.6732920667
IBRD only,GDP per capita (current US$),5594.61308923904,5844.71035423873,5980.85338732097,5547.67960198438,5540.16796609574,6058.91463299985,6387.74881862417,6473.78255095794,6176.40377048976,7241.95836327065
IDA & IBRD total,GDP per capita (current US$),4552.29184868827,4751.11699123769,4859.13548899751,4509.58986774247,4493.83652107018,4879.04293230576,5110.91127118716,5168.83751705254,4925.38124212598,5720.3239225624
IDA total,GDP per capita (current US$),1254.82705273956,1332.40037785955,1394.91775490272,1342.99940360811,1342.91377823538,1372.98815858228,1369.26045742413,1399.11567047963,1365.04784292945,1456.41270360233
IDA blend,GDP per capita (current US$),1882.6813018219,1997.46802075499,2093.79219462736,1972.14715286671,1861.94037831463,1787.80159170663,1835.3218066323,1852.21911592021,1740.60380824477,1857.42256209636
Indonesia,GDP per capita (current US$),3694.35933980214,3623.92724054274,3491.63749125449,3331.69511469189,3562.81633352183,3837.57802362633,3893.85957814877,4135.23334351202,3870.55761979249,4291.81255449121
IDA only,GDP per capita (current US$),938.739035303678,997.036903720709,1041.97787322696,1024.88610468594,1080.25862161926,1162.97182890088,1133.25964074892,1169.69952976992,1175.58660508453,1254.26784612554
Isle of Man,GDP per capita (current US$),79148.3322507324,83357.1326843437,92334.6463139171,85126.9704694293,82197.12677026,83477.834285154,89112.6677158571,86481.5525905339,,
India,GDP per capita (current US$),1443.88243476138,1449.61045069641,1573.88564182956,1605.60544457087,1732.55424231659,1980.66701982802,1998.25907627675,2072.24489735041,1933.1010689481,2277.43434674354
Not classified,GDP per capita (current US$),,,,,,,,,,
Ireland,GDP per capita (current US$),49026.0230672702,51533.0345651701,55599.850799684,62012.4849258149,62861.6391157902,69774.0289724953,79107.6049934367,80886.6157387104,85422.5428682266,99152.1025718236
"Iran, Islamic Rep.",GDP per capita (current US$),8525.76813627627,6443.02978533072,5943.04810717544,5200.68078673413,5755.8024476492,6032.06512674358,4046.34186351162,3514.0421682578,2756.74997687567,
Iraq,GDP per capita (current US$),6836.07399513338,7076.55226525188,6637.68437454551,4688.31801743466,4550.65863784829,4985.45287942996,5915.85085369644,5943.45845510233,4583.7474936713,5048.38781272046
Iceland,GDP per capita (current US$),45995.5478789467,49804.9829978371,54576.7448146565,52951.6815110898,61987.9263620283,72010.1490316258,74469.8040591559,68941.4622272394,59264.0340913145,68383.7653362902
Israel,GDP per capita (current US$),32667.6068723254,36499.4561082284,37847.6499432106,35808.4364289727,37330.261796968,40774.1296073227,42063.4531274811,43951.2477305677,44177.5712248445,51430.0796810561
Italy,GDP per capita (current US$),35051.5212697703,35560.0814062288,35565.7213771496,30242.3861352184,30960.7315088902,32406.7203150134,34622.1696664741,33673.4754474483,31834.9726184046,35551.2849900071
Jamaica,GDP per capita (current US$),5209.85926362567,4989.73408891012,4834.28400949801,4907.927415189,4843.74989999401,5070.0995030616,5359.99378939638,5369.4983713849,4664.53024222133,4586.65050896194
Jordan,GDP per capita (current US$),3910.34689406377,4044.42686891185,4131.44735046027,4164.10876894014,4175.35660192301,4231.51827999134,4308.1510738997,4405.48710929391,4282.76582461621,4405.8394238352
Japan,GDP per capita (current US$),49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39727.1165995928,40458.0018755824,39918.1675583443,39285.1631062756
Kazakhstan,GDP per capita (current US$),12386.6992652963,13890.6309562926,12807.2606866152,10510.7718884149,7714.84184376024,9247.58133129626,9812.62637077396,9812.5958082732,9121.63713797145,10041.4898386047
Kenya,GDP per capita (current US$),1271.8153829134,1354.8208334252,1462.22005213295,1464.55400904329,1525.23519224992,1633.49121639293,1794.0911754468,1909.30453654793,1872.12402649219,2006.8322400859
Kyrgyz Republic,GDP per capita (current US$),1177.97473487848,1282.43716202467,1279.76978265986,1121.08283510739,1120.66651300848,1242.76964282023,1308.14016549619,1374.03210467421,1182.52170043018,1276.24264327528
Cambodia,GDP per capita (current US$),950.880345993697,1013.42053550135,1093.49597573908,1162.90499489402,1269.59149895246,1385.26006616114,1512.12698889384,1643.12138876539,1547.51138764424,1590.95665957308
Kiribati,GDP per capita (current US$),1782.92495092646,1710.59293651984,1625.99130015561,1535.16278257963,1586.3449782671,1648.59495664448,1693.95015468902,1512.95276955828,1514.59105909467,
St. Kitts and Nevis,GDP per capita (current US$),16564.0550435964,17393.4272652879,18789.6345021562,18717.4287599059,19542.16227888,20382.7798703462,20567.2582647868,22047.8830270631,18440.8536789158,18230.1323472653
"Korea, Rep.",GDP per capita (current US$),25466.7605170594,27182.7343101936,29249.5752209742,28732.2310762599,29288.8704389833,31616.8434004683,33436.9230646064,31902.4169048194,31597.5046490718,34757.7200705078
Kuwait,GDP per capita (current US$),51979.1206895335,49388.0533799687,44062.3409134598,29869.552753237,27653.1576200281,29759.4674745278,33399.060475851,32373.2511149607,24811.7697100231,
Latin America & Caribbean (excluding high income),GDP per capita (current US$),9667.27149717744,9815.81625259387,9755.44855665976,8203.00386382518,7885.57462995346,8699.47568592879,8357.12470404998,8165.36056490621,6765.53277629677,7727.16117181435
Lao PDR,GDP per capita (current US$),1581.62871010675,1831.93691581168,1999.95820314913,2140.04432280044,2324.40091700425,2455.21155944893,2569.09389217251,2613.94442676868,2608.98283307549,2551.32608148502
Lebanon,GDP per capita (current US$),7948.68544895115,7928.28957010489,7681.65794445012,7643.00871833192,7617.68963406958,7776.03464216395,8003.82761247354,7527.44305969499,3801.79274268223,2670.44195648525
Liberia,GDP per capita (current US$),675.010191838695,747.868660136896,739.91193501652,721.581050523128,740.914906030102,721.085044013216,710.265998419581,672.340499220841,601.063005802862,673.089067079932
Libya,GDP per capita (current US$),14721.8692372542,11921.9082821252,9017.93368003086,7590.44298074577,7687.88213392283,10205.3248315701,11482.1336356202,10218.0430276718,7614.32544908885,6018.44520748105
St. Lucia,GDP per capita (current US$),9086.38795485966,9378.98504684792,9843.30853424047,10093.6180163617,10362.351576586,11034.6298291881,11353.7152287809,11591.0804351768,8804.56108865238,9570.99545736375
Latin America & Caribbean,GDP per capita (current US$),10198.3620274421,10338.4246094191,10431.7126226062,8629.00960471388,8350.02062476509,9188.57968317497,8902.39915241187,8699.46071747298,7270.70358438419,8340.3896002879
Least developed countries: UN classification,GDP per capita (current US$),955.345031911494,1017.03363742845,1067.95198501245,1009.42456360179,1025.99897943404,1119.43381110978,1077.49334233358,1105.71706494846,1099.20156053236,1176.97761667496
Low income,GDP per capita (current US$),788.195782278989,789.200761994007,821.336181323024,791.710026392794,764.704885382735,834.490881739881,699.411435185585,720.474279044071,703.733845480583,749.761380371283
Liechtenstein,GDP per capita (current US$),149010.224898665,173030.208279363,178864.851913785,167313.266280449,165642.386275555,171253.964253797,176499.402554134,169049.156850326,,
Sri Lanka,GDP per capita (current US$),3350.52187589289,3610.28936304898,3819.25352972265,3843.78067184442,3886.29150165239,4077.04384087488,4059.20822984654,3848.21237640698,3694.0409479198,3814.71521902039
Lower middle income,GDP per capita (current US$),2138.96515283971,2141.51831890159,2191.98587225912,2109.33450010224,2193.47120765322,2322.90688323402,2335.30312516721,2411.33492174599,2285.71110749433,2581.85719450806
Low & middle income,GDP per capita (current US$),4375.13354981074,4570.56379076939,4661.974204027,4366.05109904441,4349.1472757469,4718.39202030595,4933.69796934306,4993.61938118882,4759.77608177317,5530.43855319337
Lesotho,GDP per capita (current US$),1229.63623247423,1166.9117557183,1194.5756269342,1146.06468787308,1018.78487240325,1102.62972842217,1192.4843195181,1153.38805839164,1050.63163365737,1166.46166656205
Late-demographic dividend,GDP per capita (current US$),7984.73457702361,8544.0761741692,8810.52069614056,8208.05187328733,8179.07087380614,9018.16102880804,9832.14137916349,9974.50591546198,9699.0893745314,11452.8204130159
Lithuania,GDP per capita (current US$),14367.709424872,15729.6524666512,16551.018202078,14263.9645773495,15008.3132445526,16885.4073948373,19186.1812814178,19575.768481407,20232.3020358588,23433.3909073769
Luxembourg,GDP per capita (current US$),112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,117254.740352682,113218.713349678,116356.158037286,135682.794274648
Latvia,GDP per capita (current US$),13847.3379393194,15007.4918561719,15742.3913381908,13786.4567953114,14331.7515885049,15695.1151541059,17865.0310947642,17926.841589919,17703.9534432332,20642.1679221253
"Macao SAR, China",GDP per capita (current US$),76572.1517871286,89260.7571041005,93022.8751422537,74818.948126372,73545.758237307,81019.4737666593,87526.0799912635,86197.3656943949,39403.1359073362,45421.6266348569
St. Martin (French part),GDP per capita (current US$),,,21459.319127858,,,,,,,
