Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
United States,Italy,2020,Export,3089,68.25,19920417.12,1.39
United States,Jamaica,2020,Export,2320,51.26,1696588.4,0.12
United States,Jordan,2020,Export,1369,30.25,1325367.2,0.09
United States,Japan,2020,Export,3582,79.14,64090703.42,4.48
United States,Kazakhstan,2020,Export,918,20.28,509092.58,0.04
United States,Kenya,2020,Export,911,20.13,370786.7,0.03
United States,Kyrgyz Republic,2020,Export,189,4.18,32480.57,0
United States,Cambodia,2020,Export,623,13.76,343625.56,0.02
United States,Kiribati,2020,Export,48,1.06,1714.89,0
United States,St. Kitts and Nevis,2020,Export,1160,25.63,136067.1,0.01
United States,"Korea, Rep.",2020,Export,3470,76.67,51212196.8,3.58
United States,Kuwait,2020,Export,1862,41.14,2240591.95,0.16
United States,Lao PDR,2020,Export,176,3.89,24760.96,0
United States,Lebanon,2020,Export,909,20.08,623933.15,0.04
United States,Liberia,2020,Export,426,9.41,93152.92,0.01
United States,Libya,2020,Export,510,11.27,316451.05,0.02
United States,St. Lucia,2020,Export,1179,26.05,637456.14,0.04
United States,Latin America & Caribbean,2020,Export,4456,98.45,341123038.77,23.85
United States,Sri Lanka,2020,Export,963,21.28,354152.07,0.02
United States,Lesotho,2020,Export,33,0.73,2192.07,0
United States,Lithuania,2020,Export,1188,26.25,1018752.03,0.07
United States,Luxembourg,2020,Export,810,17.9,1353107.88,0.09
United States,Latvia,2020,Export,959,21.19,306185.74,0.02
United States,Macao,2020,Export,541,11.95,183004.73,0.01
United States,Morocco,2020,Export,1034,22.85,2298586.98,0.16
United States,Moldova,2020,Export,246,5.44,49984.34,0
United States,Madagascar,2020,Export,249,5.5,34809.24,0
United States,Maldives,2020,Export,366,8.09,24659.95,0
United States,Middle East & North Africa,2020,Export,3789,83.72,55774811.91,3.9
United States,Mexico,2020,Export,4258,94.08,212671750.9,14.87
United States,Marshall Islands,2020,Export,537,11.86,146526.64,0.01
United States,North Macedonia,2020,Export,295,6.52,43806.97,0
United States,Mali,2020,Export,412,9.1,99265.17,0.01
United States,Malta,2020,Export,542,11.98,157277.28,0.01
United States,Myanmar,2020,Export,592,13.08,338438.91,0.02
United States,Mongolia,2020,Export,584,12.9,118901.56,0.01
United States,Montenegro,2020,Export,154,3.4,36635.02,0
United States,Mozambique,2020,Export,430,9.5,129010.94,0.01
United States,Mauritania,2020,Export,355,7.84,127974.11,0.01
United States,Montserrat,2020,Export,263,5.81,11599,0
United States,Mauritius,2020,Export,446,9.85,49612.97,0
United States,Malawi,2020,Export,130,2.87,13214.75,0
United States,Malaysia,2020,Export,2590,57.22,12498459.27,0.87
United States,North America,2020,Export,4390,97,255486700.83,17.86
United States,Namibia,2020,Export,345,7.62,60146.06,0
United States,New Caledonia,2020,Export,362,8,61053.38,0
United States,Niger,2020,Export,313,6.92,143872.2,0.01
United States,Norfolk Island,2020,Export,12,0.27,11706.53,0
United States,Nigeria,2020,Export,1556,34.38,2788420.06,0.2
United States,Nicaragua,2020,Export,1906,42.11,1429602.2,0.1
United States,Niue,2020,Export,9,0.2,173.71,0
United States,Netherlands,2020,Export,3193,70.55,45508366.38,3.18
United States,Norway,2020,Export,1761,38.91,2785142.23,0.19
